,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,Positive Rate,7-day Average Positives,7-day Average Test Rate,14-day Average Positives,14-day Average Test Rate
0,2020-03-01,Albany,0,0,0,0,,,,,
1,2020-03-02,Albany,0,0,0,0,,,,,
2,2020-03-03,Albany,0,0,0,0,,,,,
3,2020-03-04,Albany,0,0,0,0,,,,,
4,2020-03-05,Albany,0,0,3,3,0.0,,,,
5,2020-03-06,Albany,0,0,0,3,,,,,
6,2020-03-07,Albany,0,0,5,8,0.0,0.0,,,
7,2020-03-08,Albany,0,0,2,10,0.0,0.0,,,
8,2020-03-09,Albany,0,0,3,13,0.0,0.0,,,
9,2020-03-10,Albany,0,0,2,15,0.0,0.0,,,
10,2020-03-11,Albany,0,0,13,28,0.0,0.0,,,
11,2020-03-12,Albany,1,1,11,39,0.09090909090909091,0.0,,,
12,2020-03-13,Albany,2,3,26,65,0.07692307692307693,0.0,0.023976023976023976,,
13,2020-03-14,Albany,3,6,108,173,0.027777777777777776,0.0,0.027944277944277944,0.0,0.013972138972138972
14,2020-03-15,Albany,6,12,108,281,0.05555555555555555,1.0,0.03588078588078588,0.0,0.01794039294039294
15,2020-03-16,Albany,11,23,140,421,0.07857142857142857,3.0,0.04710527567670424,1.0,0.02355263783835212
16,2020-03-17,Albany,13,36,267,688,0.04868913857677903,5.0,0.05406086690195839,2.0,0.027030433450979195
17,2020-03-18,Albany,7,43,331,1019,0.021148036253776436,6.0,0.057082014938212175,3.0,0.028541007469106087
18,2020-03-19,Albany,18,61,450,1469,0.04,8.0,0.049809287665484904,4.0,0.024904643832742452
19,2020-03-20,Albany,27,88,499,1968,0.05410821643286573,12.0,0.04655002188116902,6.0,0.02327501094058451
20,2020-03-21,Albany,35,123,577,2545,0.060658578856152515,16.0,0.0512472791780797,8.0,0.02562363958903985
21,2020-03-22,Albany,4,127,197,2742,0.02030456852791878,16.0,0.04621142388841729,8.0,0.023105711944208646
22,2020-03-23,Albany,19,146,144,2886,0.13194444444444445,17.0,0.053836140441705274,8.0,0.026918070220852637
23,2020-03-24,Albany,6,152,198,3084,0.030303030303030304,16.0,0.051209553545455457,8.0,0.025604776772727728
24,2020-03-25,Albany,19,171,93,3177,0.20430107526881722,18.0,0.077374273404747,9.0,0.0386871367023735
25,2020-03-26,Albany,16,187,112,3289,0.14285714285714285,18.0,0.09206815095576738,9.0,0.04603407547788369
26,2020-03-27,Albany,8,195,101,3390,0.07920792079207921,15.0,0.09565382300708361,7.0,0.047826911503541805
27,2020-03-28,Albany,10,205,73,3463,0.136986301369863,11.0,0.10655778336618511,5.0,0.05327889168309256
28,2020-03-29,Albany,12,217,61,3524,0.19672131147540983,12.0,0.1317601752158267,6.0,0.06588008760791335
29,2020-03-30,Albany,9,226,72,3596,0.125,11.0,0.13076811172376318,5.0,0.06538405586188159
30,2020-03-31,Albany,14,240,108,3704,0.12962962962962962,12.0,0.1449576259132774,6.0,0.0724788129566387
31,2020-04-01,Albany,13,253,106,3810,0.12264150943396226,11.0,0.13329197365115525,5.0,0.06664598682557762
32,2020-04-02,Albany,14,267,105,3915,0.13333333333333333,11.0,0.13193142943346817,5.0,0.06596571471673408
33,2020-04-03,Albany,26,293,123,4038,0.21138211382113822,14.0,0.15081345700904805,7.0,0.07540672850452403
34,2020-04-04,Albany,12,305,117,4155,0.10256410256410256,14.0,0.14589600003679656,7.0,0.07294800001839828
35,2020-04-05,Albany,14,319,89,4244,0.15730337078651685,14.0,0.140264865652669,7.0,0.0701324328263345
36,2020-04-06,Albany,14,333,86,4330,0.16279069767441862,15.0,0.14566353674901447,7.0,0.07283176837450724
37,2020-04-07,Albany,9,342,74,4404,0.12162162162162163,14.0,0.14451953560501335,7.0,0.07225976780250667
38,2020-04-08,Albany,37,379,229,4633,0.1615720524017467,18.0,0.15008104174326828,9.0,0.07504052087163414
39,2020-04-09,Albany,47,426,332,4965,0.14156626506024098,22.0,0.15125717484711218,11.0,0.07562858742355609
40,2020-04-10,Albany,20,446,159,5124,0.12578616352201258,21.0,0.1390291819472371,10.0,0.06951459097361855
41,2020-04-11,Albany,32,478,223,5347,0.14349775784753363,24.0,0.14487684698772726,12.0,0.07243842349386363
42,2020-04-12,Albany,21,499,193,5540,0.10880829015544041,25.0,0.13794897832614492,12.0,0.06897448916307246
43,2020-04-13,Albany,36,535,216,5756,0.16666666666666666,28.0,0.13850268818218037,14.0,0.06925134409109018
44,2020-04-14,Albany,13,548,106,5862,0.12264150943396226,29.0,0.13864838644108615,14.0,0.06932419322054308
45,2020-04-15,Albany,33,581,301,6163,0.10963455149501661,28.0,0.13122874345441043,14.0,0.06561437172720522
46,2020-04-16,Albany,38,619,273,6436,0.1391941391941392,27.0,0.1308898683306816,13.0,0.0654449341653408
47,2020-04-17,Albany,29,648,291,6727,0.09965635738831616,28.0,0.1271570388830107,14.0,0.06357851944150535
48,2020-04-18,Albany,34,682,305,7032,0.11147540983606558,29.0,0.12258241773851528,14.0,0.06129120886925764
49,2020-04-19,Albany,5,687,103,7135,0.04854368932038835,26.0,0.11397318904779354,13.0,0.05698659452389677
50,2020-04-20,Albany,17,704,164,7299,0.10365853658536585,24.0,0.10497202760760771,12.0,0.052486013803803855
51,2020-04-21,Albany,33,737,236,7535,0.13983050847457626,27.0,0.10742759889912398,13.0,0.05371379944956199
52,2020-04-22,Albany,21,758,178,7713,0.11797752808988764,25.0,0.10861945269839127,12.0,0.05430972634919563
53,2020-04-23,Albany,47,805,319,8032,0.14733542319749215,26.0,0.10978249327029886,13.0,0.05489124663514943
54,2020-04-24,Albany,94,899,626,8658,0.1501597444089457,35.0,0.11699726284467449,17.0,0.058498631422337244
55,2020-04-25,Albany,49,948,402,9060,0.12189054726368159,38.0,0.11848513962004821,19.0,0.059242569810024105
56,2020-04-26,Albany,31,979,263,9323,0.11787072243346007,41.0,0.12838900149334417,20.0,0.06419450074667209
57,2020-04-27,Albany,30,1009,197,9520,0.15228426395939088,43.0,0.13533553397534775,21.0,0.06766776698767388
58,2020-04-28,Albany,58,1067,351,9871,0.16524216524216523,47.0,0.13896577065643187,23.0,0.06948288532821593
59,2020-04-29,Albany,98,1165,439,10310,0.22323462414578588,58.0,0.15400249866441734,29.0,0.07700124933220867
60,2020-04-30,Albany,39,1204,378,10688,0.10317460317460317,57.0,0.14769381008971894,28.0,0.07384690504485947
61,2020-05-01,Albany,34,1238,434,11122,0.07834101382488479,48.0,0.13743399143485308,24.0,0.06871699571742654
62,2020-05-02,Albany,20,1258,441,11563,0.045351473922902494,44.0,0.12649983810045606,22.0,0.06324991905022803
63,2020-05-03,Albany,29,1287,391,11954,0.0741687979539642,44.0,0.12025670603195666,22.0,0.06012835301597833
64,2020-05-04,Albany,7,1294,130,12084,0.05384615384615385,40.0,0.10619411887292281,20.0,0.053097059436461404
65,2020-05-05,Albany,27,1321,367,12451,0.07356948228882834,36.0,0.09309802130816039,18.0,0.046549010654080195
66,2020-05-06,Albany,27,1348,407,12858,0.06633906633906633,26.0,0.07068437019291474,13.0,0.03534218509645737
67,2020-05-07,Albany,36,1384,385,13243,0.09350649350649351,25.0,0.06930321166889906,12.0,0.03465160583444953
68,2020-05-08,Albany,32,1416,488,13731,0.06557377049180328,25.0,0.06747931976417315,12.0,0.033739659882086576
69,2020-05-09,Albany,16,1432,455,14186,0.035164835164835165,24.0,0.06602408565587782,12.0,0.03301204282793891
70,2020-05-10,Albany,24,1456,384,14570,0.0625,24.0,0.06435711451959722,12.0,0.03217855725979861
71,2020-05-11,Albany,23,1479,341,14911,0.06744868035190615,26.0,0.06630033259184755,13.0,0.03315016629592377
72,2020-05-12,Albany,15,1494,335,15246,0.04477611940298507,24.0,0.06218699503672708,12.0,0.03109349751836354
73,2020-05-13,Albany,15,1509,546,15792,0.027472527472527472,23.0,0.05663463234150724,11.0,0.02831731617075362
74,2020-05-14,Albany,29,1538,541,16333,0.053604436229205174,22.0,0.05093433844475176,11.0,0.02546716922237588
75,2020-05-15,Albany,34,1572,482,16815,0.07053941908713693,22.0,0.051643716815513704,11.0,0.025821858407756852
76,2020-05-16,Albany,7,1579,411,17226,0.0170316301703163,21.0,0.04905325895915388,10.0,0.02452662947957694
77,2020-05-17,Albany,31,1610,342,17568,0.09064327485380116,22.0,0.05307372679541118,11.0,0.02653686339770559
78,2020-05-18,Albany,45,1655,398,17966,0.11306532663316583,25.0,0.05959039054987686,12.0,0.02979519527493843
79,2020-05-19,Albany,27,1682,697,18663,0.03873744619799139,26.0,0.05872772294916347,13.0,0.029363861474581737
80,2020-05-20,Albany,18,1700,650,19313,0.027692307692307693,27.0,0.058759120123417774,13.0,0.029379560061708887
81,2020-05-21,Albany,56,1756,920,20233,0.06086956521739131,31.0,0.05979699569315865,15.0,0.029898497846579324
82,2020-05-22,Albany,14,1770,655,20888,0.021374045801526718,28.0,0.05277337093807149,14.0,0.026386685469035744
83,2020-05-23,Albany,12,1782,438,21326,0.0273972602739726,29.0,0.05425417523859382,14.0,0.02712708761929691
84,2020-05-24,Albany,9,1791,378,21704,0.023809523809523808,25.0,0.04470649651798276,12.0,0.02235324825899138
85,2020-05-25,Albany,2,1793,328,22032,0.006097560975609756,19.0,0.029425387138331895,9.0,0.014712693569165948
86,2020-05-26,Albany,3,1796,369,22401,0.008130081300813009,16.0,0.025052906438734982,8.0,0.012526453219367491
87,2020-05-27,Albany,18,1814,666,23067,0.02702702702702703,16.0,0.02495786634369489,8.0,0.012478933171847445
88,2020-05-28,Albany,20,1834,416,23483,0.04807692307692308,11.0,0.023130346037913717,5.0,0.011565173018956858
89,2020-05-29,Albany,9,1843,521,24004,0.01727447216890595,10.0,0.022544692661825034,5.0,0.011272346330912517
90,2020-05-30,Albany,17,1860,760,24764,0.02236842105263158,11.0,0.021826287058776317,5.0,0.010913143529388158
91,2020-05-31,Albany,22,1882,537,25301,0.040968342644320296,13.0,0.02427754689231867,6.0,0.012138773446159335
92,2020-06-01,Albany,18,1900,618,25919,0.02912621359223301,15.0,0.027567354408979134,7.0,0.013783677204489567
93,2020-06-02,Albany,20,1920,1170,27089,0.017094017094017096,17.0,0.028847916665151147,8.0,0.014423958332575574
94,2020-06-03,Albany,10,1930,817,27906,0.012239902080783354,16.0,0.026735470244259197,8.0,0.013367735122129598
95,2020-06-04,Albany,11,1941,1179,29085,0.009329940627650551,15.0,0.021200187037220264,7.0,0.010600093518610132
96,2020-06-05,Albany,12,1953,1164,30249,0.010309278350515464,15.0,0.020205159348878763,7.0,0.010102579674439381
